Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Churn
0.9316308919289658,0.42471748865525283,0.1044198832059795,0.8264297890656064,0.11385321809092475,0
0.6896466951477647,0.32773940332934925,0.8967262177322212,0.16693376650511493,0.14849616064010318,0
0.6457605793839043,0.8113980072184072,0.2985453812724781,0.3186790342471316,0.3302824276443904,1
0.978126656531714,0.738883562214539,0.7170999018440604,0.8293374275379948,0.6164746946878209,1
0.39871996048671166,0.8508531763208597,0.836282247628442,0.6132473831081472,0.5531528978578351,1
0.902275173797091,0.48391851827885024,0.5460776527788123,0.8883888055870887,0.9739275859224975,0
0.5822890008070525,0.9267024744754785,0.028025150873931537,0.927607637667001,0.5155081813715265,1
0.48893758221401884,0.21842352036063784,0.1608085866722253,0.2660283463565477,0.8451962665995659,1
0.38878861668879516,0.9476567193962003,0.2858514751509992,0.2160757862203304,0.4823677023738543,0
0.8846708841584173,0.019263738842415723,0.11535762707475028,0.10617815174727241,0.2757818378630902,0
